,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.781,0.601,10,-10.215,0,0.8,0.193,0.0,0.318,0.65,96.227,audio_features,5eTzZvJUqguPbwGmkQp9YB,spotify:track:5eTzZvJUqguPbwGmkQp9YB,https://api.spotify.com/v1/tracks/5eTzZvJUqguPbwGmkQp9YB,https://api.spotify.com/v1/audio-analysis/5eTzZvJUqguPbwGmkQp9YB,110529,4
1,0.609,0.8,1,-3.413,0,0.0364,0.000547,9.28e-05,0.388,0.367,158.674,audio_features,2ayE3eeIsWpmuSFdeyFlVe,spotify:track:2ayE3eeIsWpmuSFdeyFlVe,https://api.spotify.com/v1/tracks/2ayE3eeIsWpmuSFdeyFlVe,https://api.spotify.com/v1/audio-analysis/2ayE3eeIsWpmuSFdeyFlVe,109034,4
2,0.73,0.228,1,-11.393,1,0.204,0.546,1.81e-06,0.647,0.61,103.079,audio_features,6SRDHDKG6sXZO64rRVERVr,spotify:track:6SRDHDKG6sXZO64rRVERVr,https://api.spotify.com/v1/tracks/6SRDHDKG6sXZO64rRVERVr,https://api.spotify.com/v1/audio-analysis/6SRDHDKG6sXZO64rRVERVr,157144,4
3,0.529,0.289,8,-18.852,1,0.526,0.126,0.0,0.25,0.746,142.063,audio_features,1giQmpTYpfP8cI5I369zje,spotify:track:1giQmpTYpfP8cI5I369zje,https://api.spotify.com/v1/tracks/1giQmpTYpfP8cI5I369zje,https://api.spotify.com/v1/audio-analysis/1giQmpTYpfP8cI5I369zje,134962,3
4,0.693,0.51,1,-10.039,1,0.27,0.00212,0.000187,0.0825,0.0969,89.536,audio_features,50BnBMAaNwlFcedkifEjxi,spotify:track:50BnBMAaNwlFcedkifEjxi,https://api.spotify.com/v1/tracks/50BnBMAaNwlFcedkifEjxi,https://api.spotify.com/v1/audio-analysis/50BnBMAaNwlFcedkifEjxi,107130,4
5,0.567,0.452,9,-8.968,0,0.31,0.00251,0.0,0.354,0.519,164.945,audio_features,55MMelrJUWOu0YAadtIMQJ,spotify:track:55MMelrJUWOu0YAadtIMQJ,https://api.spotify.com/v1/tracks/55MMelrJUWOu0YAadtIMQJ,https://api.spotify.com/v1/audio-analysis/55MMelrJUWOu0YAadtIMQJ,104986,4
6,0.582,0.63,10,-8.571,1,0.24,0.0104,0.000286,0.331,0.529,81.558,audio_features,6Iv0IrabRvDfcH3WAtFvGy,spotify:track:6Iv0IrabRvDfcH3WAtFvGy,https://api.spotify.com/v1/tracks/6Iv0IrabRvDfcH3WAtFvGy,https://api.spotify.com/v1/audio-analysis/6Iv0IrabRvDfcH3WAtFvGy,106793,4
7,0.256,0.793,10,-3.934,0,0.0881,0.000684,0.0,0.407,0.631,190.796,audio_features,6bvLOV5fdBsFVUTm64SBia,spotify:track:6bvLOV5fdBsFVUTm64SBia,https://api.spotify.com/v1/tracks/6bvLOV5fdBsFVUTm64SBia,https://api.spotify.com/v1/audio-analysis/6bvLOV5fdBsFVUTm64SBia,126260,4
8,0.736,0.637,1,-9.016,1,0.32,0.176,3.17e-06,0.112,0.877,92.326,audio_features,5awii6NgEPbGSQSCiyErCp,spotify:track:5awii6NgEPbGSQSCiyErCp,https://api.spotify.com/v1/tracks/5awii6NgEPbGSQSCiyErCp,https://api.spotify.com/v1/audio-analysis/5awii6NgEPbGSQSCiyErCp,167236,4
9,0.548,0.406,11,-10.047,0,0.16,0.142,0.017,0.483,0.575,169.971,audio_features,74iT068MklPydaJ13V5EqG,spotify:track:74iT068MklPydaJ13V5EqG,https://api.spotify.com/v1/tracks/74iT068MklPydaJ13V5EqG,https://api.spotify.com/v1/audio-analysis/74iT068MklPydaJ13V5EqG,103082,4
