,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,names
0,0.732,0.677,10,-4.964,1,0.0418,0.176,0.0,0.116,0.57,150.067,audio_features,3mkPGR4NklNB3Y77c3mrOS,spotify:track:3mkPGR4NklNB3Y77c3mrOS,https://api.spotify.com/v1/tracks/3mkPGR4NklNB3Y77c3mrOS,https://api.spotify.com/v1/audio-analysis/3mkPGR4NklNB3Y77c3mrOS,143500,4,Noel
1,0.722,0.58,5,-8.242,0,0.046,0.757,1.51e-06,0.335,0.359,125.092,audio_features,49JuBQEJhVZv0uAs2wpjwE,spotify:track:49JuBQEJhVZv0uAs2wpjwE,https://api.spotify.com/v1/tracks/49JuBQEJhVZv0uAs2wpjwE,https://api.spotify.com/v1/audio-analysis/49JuBQEJhVZv0uAs2wpjwE,147840,4,Noel
2,0.634,0.32,1,-9.514,1,0.093,0.911,0.000159,0.0859,0.41,79.931,audio_features,6hbK9zJUAlB5PYL15SzKtB,spotify:track:6hbK9zJUAlB5PYL15SzKtB,https://api.spotify.com/v1/tracks/6hbK9zJUAlB5PYL15SzKtB,https://api.spotify.com/v1/audio-analysis/6hbK9zJUAlB5PYL15SzKtB,150000,4,Noel
3,0.664,0.399,6,-11.661,1,0.0743,0.791,0.0,0.116,0.424,133.904,audio_features,1TYF5FyxFXC6bM2VOuNWhV,spotify:track:1TYF5FyxFXC6bM2VOuNWhV,https://api.spotify.com/v1/tracks/1TYF5FyxFXC6bM2VOuNWhV,https://api.spotify.com/v1/audio-analysis/1TYF5FyxFXC6bM2VOuNWhV,200602,4,Noel
4,0.733,0.402,9,-8.774,1,0.0337,0.707,0.0,0.111,0.15,108.005,audio_features,7sQhhSlMui3JOZ4s2j4IjM,spotify:track:7sQhhSlMui3JOZ4s2j4IjM,https://api.spotify.com/v1/tracks/7sQhhSlMui3JOZ4s2j4IjM,https://api.spotify.com/v1/audio-analysis/7sQhhSlMui3JOZ4s2j4IjM,146667,4,Noel
5,0.777,0.457,4,-6.525,1,0.0823,0.481,0.0,0.114,0.652,136.037,audio_features,3a2u2qDijKes0TpHczoVYB,spotify:track:3a2u2qDijKes0TpHczoVYB,https://api.spotify.com/v1/tracks/3a2u2qDijKes0TpHczoVYB,https://api.spotify.com/v1/audio-analysis/3a2u2qDijKes0TpHczoVYB,162353,4,Noel
6,0.409,0.504,7,-5.62,1,0.0448,0.76,0.0,0.344,0.499,169.244,audio_features,4dO4oVzvRrRRsJgaT4ORlM,spotify:track:4dO4oVzvRrRRsJgaT4ORlM,https://api.spotify.com/v1/tracks/4dO4oVzvRrRRsJgaT4ORlM,https://api.spotify.com/v1/audio-analysis/4dO4oVzvRrRRsJgaT4ORlM,168000,4,Noel
7,0.741,0.553,2,-9.026,1,0.239,0.859,0.0,0.133,0.738,74.962,audio_features,5qwfWcdl8h0EhhSVTTH8gN,spotify:track:5qwfWcdl8h0EhhSVTTH8gN,https://api.spotify.com/v1/tracks/5qwfWcdl8h0EhhSVTTH8gN,https://api.spotify.com/v1/audio-analysis/5qwfWcdl8h0EhhSVTTH8gN,153600,4,Noel
8,0.387,0.375,3,-9.172,1,0.273,0.822,0.000154,0.109,0.418,73.045,audio_features,2KX7ZC9JL8BAeFnCrcVRHE,spotify:track:2KX7ZC9JL8BAeFnCrcVRHE,https://api.spotify.com/v1/tracks/2KX7ZC9JL8BAeFnCrcVRHE,https://api.spotify.com/v1/audio-analysis/2KX7ZC9JL8BAeFnCrcVRHE,140720,4,Noel
9,0.609,0.394,0,-10.142,1,0.209,0.757,0.00034,0.127,0.191,172.031,audio_features,1xVLISbNzP6MlhuwU5wciP,spotify:track:1xVLISbNzP6MlhuwU5wciP,https://api.spotify.com/v1/tracks/1xVLISbNzP6MlhuwU5wciP,https://api.spotify.com/v1/audio-analysis/1xVLISbNzP6MlhuwU5wciP,224826,4,Noel
