,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.637,0.522,10,-7.818,0,0.0397,0.282,0.0,0.147,0.163,140.027,audio_features,3WtuDfQ3Hs34LeRGUqwEJo,spotify:track:3WtuDfQ3Hs34LeRGUqwEJo,https://api.spotify.com/v1/tracks/3WtuDfQ3Hs34LeRGUqwEJo,https://api.spotify.com/v1/audio-analysis/3WtuDfQ3Hs34LeRGUqwEJo,193714,4
1,0.449,0.63,7,-9.019,1,0.0674,0.074,8.79e-06,0.483,0.332,139.017,audio_features,2TmqHjg7uhizGndzXQdFuf,spotify:track:2TmqHjg7uhizGndzXQdFuf,https://api.spotify.com/v1/tracks/2TmqHjg7uhizGndzXQdFuf,https://api.spotify.com/v1/audio-analysis/2TmqHjg7uhizGndzXQdFuf,127792,4
2,0.652,0.557,5,-7.016,1,0.0324,0.846,2.05e-05,0.427,0.331,119.081,audio_features,0erC01z0evvMNeNsnq4AWd,spotify:track:0erC01z0evvMNeNsnq4AWd,https://api.spotify.com/v1/tracks/0erC01z0evvMNeNsnq4AWd,https://api.spotify.com/v1/audio-analysis/0erC01z0evvMNeNsnq4AWd,189373,4
3,0.517,0.626,0,-9.021,1,0.0375,0.0221,0.587,0.136,0.114,149.862,audio_features,16aNHWdWoO9zobj4lqAoWV,spotify:track:16aNHWdWoO9zobj4lqAoWV,https://api.spotify.com/v1/tracks/16aNHWdWoO9zobj4lqAoWV,https://api.spotify.com/v1/audio-analysis/16aNHWdWoO9zobj4lqAoWV,134400,4
4,0.524,0.555,5,-9.492,0,0.0328,0.00382,4.34e-05,0.14,0.248,104.002,audio_features,6FgLKwtCltkSIqXYpbtbKy,spotify:track:6FgLKwtCltkSIqXYpbtbKy,https://api.spotify.com/v1/tracks/6FgLKwtCltkSIqXYpbtbKy,https://api.spotify.com/v1/audio-analysis/6FgLKwtCltkSIqXYpbtbKy,224017,4
5,0.485,0.578,5,-9.258,0,0.0446,0.298,0.0,0.217,0.0656,126.006,audio_features,4ZfseXX84WDBDLcCATDmHC,spotify:track:4ZfseXX84WDBDLcCATDmHC,https://api.spotify.com/v1/tracks/4ZfseXX84WDBDLcCATDmHC,https://api.spotify.com/v1/audio-analysis/4ZfseXX84WDBDLcCATDmHC,140952,4
6,0.813,0.58,0,-9.032,1,0.0356,0.506,4.82e-06,0.192,0.462,127.942,audio_features,446cGQy94fyoDmSWHOiAsS,spotify:track:446cGQy94fyoDmSWHOiAsS,https://api.spotify.com/v1/tracks/446cGQy94fyoDmSWHOiAsS,https://api.spotify.com/v1/audio-analysis/446cGQy94fyoDmSWHOiAsS,199307,4
7,0.791,0.52,8,-8.656,1,0.1,0.597,0.000192,0.0938,0.6,141.115,audio_features,37IOMy7QvH4sjvctKVld88,spotify:track:37IOMy7QvH4sjvctKVld88,https://api.spotify.com/v1/tracks/37IOMy7QvH4sjvctKVld88,https://api.spotify.com/v1/audio-analysis/37IOMy7QvH4sjvctKVld88,146613,4
8,0.547,0.65,0,-5.659,1,0.0357,0.219,0.0223,0.0811,0.507,148.064,audio_features,1YvP5iLuWEszfWEfI4DtW5,spotify:track:1YvP5iLuWEszfWEfI4DtW5,https://api.spotify.com/v1/tracks/1YvP5iLuWEszfWEfI4DtW5,https://api.spotify.com/v1/audio-analysis/1YvP5iLuWEszfWEfI4DtW5,119040,4
9,0.27,0.889,0,-11.462,1,0.0421,0.00361,0.0887,0.29,0.64,191.0,audio_features,0Y7fsEyDzWMNfY8affxQcb,spotify:track:0Y7fsEyDzWMNfY8affxQcb,https://api.spotify.com/v1/tracks/0Y7fsEyDzWMNfY8affxQcb,https://api.spotify.com/v1/audio-analysis/0Y7fsEyDzWMNfY8affxQcb,203733,4
10,0.334,0.845,4,-12.563,1,0.0625,0.0285,0.0,0.179,0.352,169.503,audio_features,3zgJHNEorjbLLThp6TiMhz,spotify:track:3zgJHNEorjbLLThp6TiMhz,https://api.spotify.com/v1/tracks/3zgJHNEorjbLLThp6TiMhz,https://api.spotify.com/v1/audio-analysis/3zgJHNEorjbLLThp6TiMhz,227333,4
11,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,audio_features,2bPGTMB5sFfFYQ2YvSmup0,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/tracks/2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/audio-analysis/2bPGTMB5sFfFYQ2YvSmup0,322340,4
12,0.674,0.635,11,-7.472,1,0.035,0.0544,2.03e-05,0.113,0.789,142.192,audio_features,7EFceI7dog2WpYbwByMjV0,spotify:track:7EFceI7dog2WpYbwByMjV0,https://api.spotify.com/v1/tracks/7EFceI7dog2WpYbwByMjV0,https://api.spotify.com/v1/audio-analysis/7EFceI7dog2WpYbwByMjV0,305560,4
13,0.623,0.716,11,-7.449,0,0.207,0.22,2.54e-06,0.113,0.203,116.914,audio_features,2djY65hifu2a4R2WqcXqKL,spotify:track:2djY65hifu2a4R2WqcXqKL,https://api.spotify.com/v1/tracks/2djY65hifu2a4R2WqcXqKL,https://api.spotify.com/v1/audio-analysis/2djY65hifu2a4R2WqcXqKL,270000,4
14,0.457,0.965,1,0.457,1,0.486,0.085,0.0,0.697,0.604,170.122,audio_features,68Y3zzmt2XxzheQVGbbJt4,spotify:track:68Y3zzmt2XxzheQVGbbJt4,https://api.spotify.com/v1/tracks/68Y3zzmt2XxzheQVGbbJt4,https://api.spotify.com/v1/audio-analysis/68Y3zzmt2XxzheQVGbbJt4,632625,4
15,0.634,0.986,1,-0.607,1,0.127,0.00532,0.103,0.357,0.601,106.016,audio_features,0yex0VeppM0G7591R4LroP,spotify:track:0yex0VeppM0G7591R4LroP,https://api.spotify.com/v1/tracks/0yex0VeppM0G7591R4LroP,https://api.spotify.com/v1/audio-analysis/0yex0VeppM0G7591R4LroP,112642,4
16,0.53,0.985,8,-0.122,1,0.334,0.0048,0.138,0.342,0.253,109.907,audio_features,0xcjGypJugld1Lf1kLOaJt,spotify:track:0xcjGypJugld1Lf1kLOaJt,https://api.spotify.com/v1/tracks/0xcjGypJugld1Lf1kLOaJt,https://api.spotify.com/v1/audio-analysis/0xcjGypJugld1Lf1kLOaJt,162071,3
